time	 clk	 reset	 enable	 load 	 dataIn 	 out	
VCD info: dumpfile counter_8bit_vcd.vcd opened for output.
4220	 1	 0	 0	 0	 11010101	 11010001	
4230	 0	 0	 0	 0	 11010101	 11010010	
4240	 1	 0	 0	 0	 11010101	 11010010	
4250	 0	 0	 0	 0	 11010101	 11010011	
4260	 1	 0	 0	 0	 11010101	 11010011	
4270	 0	 0	 0	 0	 11010101	 11010100	
4280	 1	 0	 0	 0	 11010101	 11010100	
4290	 0	 0	 0	 0	 11010101	 11010101	
4300	 1	 0	 0	 0	 11010101	 11010101	
4310	 0	 0	 0	 0	 11010101	 11010110	
4320	 1	 0	 0	 0	 11010101	 11010110	
4330	 0	 0	 0	 0	 11010101	 11010111	
4340	 1	 0	 0	 0	 11010101	 11010111	
4350	 0	 0	 0	 0	 11010101	 11011000	
4360	 1	 0	 0	 0	 11010101	 11011000	
4370	 0	 0	 0	 0	 11010101	 11011001	
4380	 1	 0	 0	 0	 11010101	 11011001	
4390	 0	 0	 0	 0	 11010101	 11011010	
4400	 1	 0	 0	 0	 11010101	 11011010	
4410	 0	 0	 0	 0	 11010101	 11011011	
4420	 1	 0	 0	 0	 11010101	 11011011	
4430	 0	 0	 0	 0	 11010101	 11011100	
4440	 1	 0	 0	 0	 11010101	 11011100	
4450	 0	 0	 0	 0	 11010101	 11011101	
4460	 1	 0	 0	 0	 11010101	 11011101	
4470	 0	 0	 0	 0	 11010101	 11011110	
4480	 1	 0	 0	 0	 11010101	 11011110	
4490	 0	 0	 0	 0	 11010101	 11011111	
4500	 1	 0	 0	 0	 11010101	 11011111	
4510	 0	 0	 0	 0	 11010101	 11100000	
4520	 1	 0	 0	 0	 11010101	 11100000	
4530	 0	 0	 0	 0	 11010101	 11100001	
4540	 1	 0	 0	 0	 11010101	 11100001	
4550	 0	 0	 0	 0	 11010101	 11100010	
4560	 1	 0	 0	 0	 11010101	 11100010	
4570	 0	 0	 0	 0	 11010101	 11100011	
4580	 1	 0	 0	 0	 11010101	 11100011	
4590	 0	 0	 0	 0	 11010101	 11100100	
4600	 1	 0	 0	 0	 11010101	 11100100	
4610	 0	 0	 0	 0	 11010101	 11100101	
4620	 1	 0	 0	 0	 11010101	 11100101	
4630	 0	 0	 0	 0	 11010101	 11100110	
4640	 1	 0	 0	 0	 11010101	 11100110	
4650	 0	 0	 0	 0	 11010101	 11100111	
4660	 1	 0	 0	 0	 11010101	 11100111	
4670	 0	 0	 0	 0	 11010101	 11101000	
4680	 1	 0	 0	 0	 11010101	 11101000	
4690	 0	 0	 0	 0	 11010101	 11101001	
4700	 1	 0	 0	 0	 11010101	 11101001	
4710	 0	 0	 0	 0	 11010101	 11101010	
4720	 1	 0	 0	 0	 11010101	 11101010	
4730	 0	 0	 0	 0	 11010101	 11101011	
4740	 1	 0	 0	 0	 11010101	 11101011	
4750	 0	 0	 0	 0	 11010101	 11101100	
4760	 1	 0	 0	 0	 11010101	 11101100	
4770	 0	 0	 0	 0	 11010101	 11101101	
4780	 1	 0	 0	 0	 11010101	 11101101	
4790	 0	 0	 0	 0	 11010101	 11101110	
4800	 1	 0	 0	 0	 11010101	 11101110	
4810	 0	 0	 0	 0	 11010101	 11101111	
4820	 1	 0	 0	 0	 11010101	 11101111	
4830	 0	 0	 0	 0	 11010101	 11110000	
4840	 1	 0	 0	 0	 11010101	 11110000	
4850	 0	 0	 0	 0	 11010101	 11110001	
4860	 1	 0	 0	 0	 11010101	 11110001	
4870	 0	 0	 0	 0	 11010101	 11110010	
4880	 1	 0	 0	 0	 11010101	 11110010	
4890	 0	 0	 0	 0	 11010101	 11110011	
4900	 1	 0	 0	 0	 11010101	 11110011	
4910	 0	 0	 0	 0	 11010101	 11110100	
4920	 1	 0	 0	 0	 11010101	 11110100	
4930	 0	 0	 0	 0	 11010101	 11110101	
4940	 1	 0	 0	 0	 11010101	 11110101	
4950	 0	 0	 0	 0	 11010101	 11110110	
4960	 1	 0	 0	 0	 11010101	 11110110	
4970	 0	 0	 0	 0	 11010101	 11110111	
4980	 1	 0	 0	 0	 11010101	 11110111	
4990	 0	 0	 0	 0	 11010101	 11111000	
5000	 1	 0	 0	 0	 11010101	 11111000	
5010	 0	 0	 0	 0	 11010101	 11111001	
5020	 1	 0	 0	 0	 11010101	 11111001	
5030	 0	 0	 0	 0	 11010101	 11111010	
5040	 1	 0	 0	 0	 11010101	 11111010	
5050	 0	 0	 0	 0	 11010101	 11111011	
5060	 1	 0	 0	 0	 11010101	 11111011	
5070	 0	 0	 0	 0	 11010101	 11111100	
5080	 1	 0	 0	 0	 11010101	 11111100	
5090	 0	 0	 0	 0	 11010101	 11111101	
5100	 1	 0	 0	 0	 11010101	 11111101	
5110	 0	 0	 0	 0	 11010101	 11111110	
5120	 1	 0	 0	 0	 11010101	 11111110	
5130	 0	 0	 0	 0	 11010101	 11111111	
5140	 1	 0	 0	 0	 11010101	 11111111	
5150	 0	 0	 0	 0	 11010101	 00000000	
5160	 1	 0	 0	 1	 11010101	 11010101	
5170	 0	 0	 0	 1	 11010101	 11010101	
5180	 1	 0	 0	 0	 11010101	 11010101	
5190	 0	 0	 0	 0	 11010101	 11010110	
5200	 1	 0	 0	 0	 11010101	 11010110	
5210	 0	 0	 0	 0	 11010101	 11010111	
5215	 0	 1	 0	 0	 11010101	 00000000	
5220	 1	 1	 0	 0	 11010101	 00000000	
5230	 0	 0	 0	 0	 11010101	 00000001	
5240	 1	 0	 0	 0	 11010101	 00000001	
5250	 0	 0	 0	 0	 11010101	 00000010	
5260	 1	 0	 0	 0	 11010101	 00000010	
5270	 0	 0	 0	 0	 11010101	 00000011	
